unit_id,occupation_id,occupation,order_year,source_file,source_url,retrieval_date,source_sha256,source_page,section,section_code,track_type,track_name,source_table,source_row,position_number,unit_name,item_letter,competency_stem,original_item_text,learning_goal_text,extraction_note
bueromanagement_a_1_a,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),a,,betriebliche Kommunikationssysteme auswählen und anwenden,betriebliche Kommunikationssysteme auswählen und anwenden,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_1_b,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),b,,Grundfunktionen des Betriebssystems anwenden,Grundfunktionen des Betriebssystems anwenden,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_1_c,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),c,,Nutzen des Einsatzes von elektronischen Dokumentenmanagementsystemen aufzeigen,Nutzen des Einsatzes von elektronischen Dokumentenmanagementsystemen aufzeigen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_1_d,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),d,,Nutzen und Risiken von Onlineanwendungen aufzeigen,Nutzen und Risiken von Onlineanwendungen aufzeigen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_1_e,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),e,,Wege der Informationsbeschaffung beherrschen,Wege der Informationsbeschaffung beherrschen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_1_f,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,1,1,Informationsmanagement anwenden (§ 4 Absatz 2 Nummer 1),f,,Maßnahmen zur Datensicherung und Datenpflege veranlassen,Maßnahmen zur Datensicherung und Datenpflege veranlassen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_a,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),a,,"Texte des internen und externen Schriftverkehrs formulieren, gliedern sowie situationsgerecht und normgerecht erstellen","Texte des internen und externen Schriftverkehrs formulieren, gliedern sowie situationsgerecht und normgerecht erstellen",HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_b,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),b,,Textverarbeitungssystem bedarfsgerecht und effizient anwenden,Textverarbeitungssystem bedarfsgerecht und effizient anwenden,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_c,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),c,,Vor- und Nachteile verschiedener Präsentationsmedien und -techniken abwägen,Vor- und Nachteile verschiedener Präsentationsmedien und -techniken abwägen,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_d,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),d,,"Präsentationen vorgaben- und adressatengerecht entwerfen, gestalten und durchführen","Präsentationen vorgaben- und adressatengerecht entwerfen, gestalten und durchführen",HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_e,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),e,,Präsentationen reflektieren,Präsentationen reflektieren,HTML-dl/dt/dd; whitespace normalized
bueromanagement_a_2_f,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,raw/html/bueromanagement__2026-07-02.html,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2026-07-02,02c1ae1c753050967ebe441cf2da93c0efc5c97b8c9130ca38ae7c9cecced075,,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",A,gemeinsam,gemeinsame Inhalte,1,2,2,Informationsverarbeitung durchführen (§ 4 Absatz 2 Nummer 2),f,,Kalkulationstabellen erstellen und Berechnungen durchführen,Kalkulationstabellen erstellen und Berechnungen durchführen,HTML-dl/dt/dd; whitespace normalized
