unit_id,occupation_id,occupation,order_year,section,track_type,track_name,position_number,unit_name,item_letter,learning_goal_text,source_url,source_table,source_row
bueromanagement_a_8_a,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,8,personalbezogene Aufgaben übernehmen (§ 4 Absatz 2 Nummer 8),a,Personaleinsatzplanung unterstützen und Arbeitszeitregelungen berücksichtigen,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,1,9
bueromanagement_b_10_c,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),10,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),c,am Verfahren zur Aufstellung des Haushalts- oder Wirtschaftsplans mitwirken,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,14
bueromanagement_b_10_e,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),10,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),e,Geschäftsvorgänge zuordnen und Buchungen vorbereiten,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,14
bueromanagement_b_1_s,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Auftragsprozess steuern (§ 4 Absatz 3 Nummer 1),1,Auftragsprozess steuern (§ 4 Absatz 3 Nummer 1),s,Kundenreklamationen bearbeiten,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,1
bueromanagement_b_5_b,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),5,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),b,an der Entwicklung von Marketingmaßnahmen mitwirken,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,6
bueromanagement_b_5_h,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),5,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),h,Vertriebsformen berücksichtigen,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,6
bueromanagement_b_7_d,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),7,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),d,Kommunikationsstörungen vermeiden,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,9
bueromanagement_b_7_m,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),7,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),m,Unterlagen zusammenstellen und aufbereiten,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,10
bueromanagement_b_9_b,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Aufgaben der Verwaltung wahrnehmen und Recht anwenden (§ 4 Absatz 3 Nummer 9),9,Aufgaben der Verwaltung wahrnehmen und Recht anwenden (§ 4 Absatz 3 Nummer 9),b,Möglichkeiten der Aufgabenerledigung Kunden und Bürgern nachvollziehbar aufzeigen,https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,2,12
bueromanagement_c_4_g,bueromanagement,Kaufmann/Kauffrau für Büromanagement,2025,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,4,digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),g,"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",https://www.gesetze-im-internet.de/b_romkfausbv_2025/anlage.html,3,6
