coder_id,unit_id,occupation,section,track_type,track_name,unit_name,learning_goal_text,student_label,student_confidence,student_rationale
,bueromanagement_a_8_a,Kaufmann/Kauffrau für Büromanagement,"Abschnitt A: wahlqualifikationsübergreifende berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,personalbezogene Aufgaben übernehmen (§ 4 Absatz 2 Nummer 8),Personaleinsatzplanung unterstützen und Arbeitszeitregelungen berücksichtigen,,,
,bueromanagement_b_10_c,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),am Verfahren zur Aufstellung des Haushalts- oder Wirtschaftsplans mitwirken,,,
,bueromanagement_b_10_e,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),Haushaltsmittel planen und bewirtschaften (§ 4 Absatz 3 Nummer 10),Geschäftsvorgänge zuordnen und Buchungen vorbereiten,,,
,bueromanagement_b_1_s,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Auftragsprozess steuern (§ 4 Absatz 3 Nummer 1),Auftragsprozess steuern (§ 4 Absatz 3 Nummer 1),Kundenreklamationen bearbeiten,,,
,bueromanagement_b_5_b,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),an der Entwicklung von Marketingmaßnahmen mitwirken,,,
,bueromanagement_b_5_h,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),Marketing- und Vertriebsaktivitäten mitgestalten (§ 4 Absatz 3 Nummer 5),Vertriebsformen berücksichtigen,,,
,bueromanagement_b_7_d,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Kommunikationsstörungen vermeiden,,,
,bueromanagement_b_7_m,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Assistenzaufgaben übernehmen (§ 4 Absatz 3 Nummer 7),Unterlagen zusammenstellen und aufbereiten,,,
,bueromanagement_b_9_b,Kaufmann/Kauffrau für Büromanagement,"Abschnitt B: berufsprofilgebende Fertigkeiten, Kenntnisse und Fähigkeiten in den Wahlqualifikationen",wahlqualifikation,Aufgaben der Verwaltung wahrnehmen und Recht anwenden (§ 4 Absatz 3 Nummer 9),Aufgaben der Verwaltung wahrnehmen und Recht anwenden (§ 4 Absatz 3 Nummer 9),Möglichkeiten der Aufgabenerledigung Kunden und Bürgern nachvollziehbar aufzeigen,,,
,bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",,,
,bueromanagement_c_4_h,Kaufmann/Kauffrau für Büromanagement,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,digitalisierte Arbeitswelt (§ 4 Absatz 4 Nummer 4),Wertschätzung anderer unter Berücksichtigung gesellschaftlicher Vielfalt praktizieren,,,
,bueromanagement_c_5_c,Kaufmann/Kauffrau für Büromanagement,"Abschnitt C: wahlqualifikationsübergreifende integrativ zu vermittelnde Fertigkeiten, Kenntnisse und Fähigkeiten",gemeinsam,gemeinsame Inhalte,Arbeitsorganisation und Informationsmanagement gestalten (§ 4 Absatz 4 Nummer 5),"Informationen recherchieren, auswerten, beurteilen, aufbereiten und archivieren",,,
