evaluation,unit_id,occupation,learning_goal_text,reference_label,model_probability,model_label,error_type
stratifizierte Testmenge,bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",1,0.18572253028102081,0,False Negative
stratifizierte Testmenge,elektroniker_a_11_b,Elektroniker/Elektronikerin,"Standardsoftware und Anwendungssoftware nach Einsatzbereichen auswählen, konfigurieren und anpassen sowie Kompatibilität zu Hardware- und Systemvoraussetzungen beurteilen und installieren",1,0.36079497399939203,0,False Negative
stratifizierte Testmenge,fachinformatiker_e_1_c,Fachinformatiker/Fachinformatikerin,"bei der Planung Aspekte der IT-Sicherheit und technische Rahmenbedingungen, insbesondere Netzwerkanforderungen, berücksichtigen",1,0.4415701508726576,0,False Negative
stratifizierte Testmenge,friseur_c_4_b,Friseur/Friseurin,Risiken bei der Nutzung von digitalen Medien und informationstechnischen Systemen einschätzen und bei deren Nutzung betriebliche Regelungen einhalten,1,0.33741741322897106,0,False Negative
stratifizierte Testmenge,mechatroniker_main_15_g,Mechatroniker/Mechatronikerin,"Sensoren, Aktoren und Wandler installieren",1,0.3509934362960679,0,False Negative
Leave-one-occupation-out,bueromanagement_b_5_h,Kaufmann/Kauffrau für Büromanagement,Vertriebsformen berücksichtigen,0,0.5384354281588909,1,False Positive
Leave-one-occupation-out,bueromanagement_c_4_g,Kaufmann/Kauffrau für Büromanagement,"Aufgaben zusammen mit Beteiligten, einschließlich der Beteiligten anderer Arbeits- und Geschäftsbereiche, auch unter Nutzung digitaler Medien, planen, bearbeiten und gestalten",1,0.4129197922573649,0,False Negative
Leave-one-occupation-out,bueromanagement_c_4_h,Kaufmann/Kauffrau für Büromanagement,Wertschätzung anderer unter Berücksichtigung gesellschaftlicher Vielfalt praktizieren,0,0.5977019632926486,1,False Positive
Leave-one-occupation-out,elektroniker_a_11_b,Elektroniker/Elektronikerin,"Standardsoftware und Anwendungssoftware nach Einsatzbereichen auswählen, konfigurieren und anpassen sowie Kompatibilität zu Hardware- und Systemvoraussetzungen beurteilen und installieren",1,0.4354592927964451,0,False Negative
Leave-one-occupation-out,elektroniker_c_4_e,Elektroniker/Elektronikerin,systematische Fehlersuche an automatisierten Anlagen durchführen,1,0.3660834454728764,0,False Negative
Leave-one-occupation-out,elektroniker_d_2_f,Elektroniker/Elektronikerin,Verhaltensweisen bei Unfällen beschreiben und erste Maßnahmen bei Unfällen einleiten,0,0.5678344527550545,1,False Positive
Leave-one-occupation-out,fachinformatiker_a_3_b,Fachinformatiker/Fachinformatikerin,"Angebote zu IT-Komponenten, IT-Produkten und IT-Dienstleistungen einholen und bewerten sowie Spezifikationen und Konditionen vergleichen",1,0.2027636193448369,0,False Negative
Leave-one-occupation-out,fachinformatiker_a_6_e,Fachinformatiker/Fachinformatikerin,Wirksamkeit und Effizienz der umgesetzten Maßnahmen zur IT-Sicherheit und zum Datenschutz prüfen,1,0.3315902383194974,0,False Negative
Leave-one-occupation-out,fachinformatiker_a_8_b,Fachinformatiker/Fachinformatikerin,Datenaustausch von vernetzten Systemen realisieren,1,0.3583454730507475,0,False Negative
Leave-one-occupation-out,fachinformatiker_a_8_e,Fachinformatiker/Fachinformatikerin,Störungsmeldungen aufnehmen und analysieren sowie Maßnahmen zur Störungsbeseitigung ergreifen,1,0.33227418759358013,0,False Negative
Leave-one-occupation-out,fachinformatiker_b_2_c,Fachinformatiker/Fachinformatikerin,Modultests erstellen und durchführen,1,0.23584702903364316,0,False Negative
